"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HP_OBSESSIVE_COMPULSIVE_BEHAVIOR",0.182213487666739,0.680643173887992,0.0124882191354794,0.610780693785449,1.26602941022003,13,"[""MAP1B"",""SNRPN"",""SPTBN1"",""SLC2A3"",""ADNP"",""RAD21"",""CHD7""]"
"GOBP_NUCLEOSIDE_DIPHOSPHATE_PHOSPHORYLATION",0.182519784933245,0.680643173887992,0.012305324482791,0.580614558829495,1.2576519188804,16,"[""AK4"",""ALDOA"",""LDHA"",""GAPDH"",""HIF1A"",""ARL2"",""NME2""]"
"GOBP_NUCLEOTIDE_PHOSPHORYLATION",0.182519784933245,0.680643173887992,0.012305324482791,0.580614558829495,1.2576519188804,16,"[""AK4"",""ALDOA"",""LDHA"",""GAPDH"",""HIF1A"",""ARL2"",""NME2""]"
"GSE7852_LN_VS_FAT_TCONV_DN",0.182255303312244,0.680643173887992,0.0122146704792007,0.56545715633015,1.254429921359,18,"[""IFITM2"",""BEX3"",""VCL"",""SRSF7"",""PLS3"",""SLC2A3""]"
"MIR4492",0.182441283090139,0.680643173887992,0.0180761556250146,-0.486482791454208,-1.23766469974666,18,"[""PRCC"",""DAG1"",""ABCF2"",""RAB7A"",""MRTO4"",""GPBP1L1"",""ABCF1"",""NCOR1""]"
"HP_ABNORMALITY_OF_SKELETAL_MATURATION",0.182290212718441,0.680643173887992,0.0117712475711709,0.505545290255714,1.23442923512881,30,"[""IGF1R"",""FGFR1"",""TP53"",""CTBP1"",""PTEN"",""CYB5A"",""MT-ATP8""]"
"GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS",0.182315990714188,0.680643173887992,0.0116227519977064,0.488788912560883,1.22514739084036,35,"[""HSPB1"",""IGF1R"",""FGFR1"",""POLR3G"",""XRCC6"",""RTN4"",""CTSC"",""TMSB4X"",""ADAM10"",""MDK"",""RAC1""]"
"GOCC_MELANOSOME",0.18236163122273,0.680643173887992,0.019270251777913,-0.42560213094824,-1.20660856907085,28,"[""RAB5C"",""CTSD"",""PDCD6IP"",""ATP1B3"",""RAB7A"",""P4HB""]"
"GOCC_PIGMENT_GRANULE",0.18236163122273,0.680643173887992,0.019270251777913,-0.42560213094824,-1.20660856907085,28,"[""RAB5C"",""CTSD"",""PDCD6IP"",""ATP1B3"",""RAB7A"",""P4HB""]"
"BUYTAERT_PHOTODYNAMIC_THERAPY_STRESS_DN",0.182694218160143,0.681135844634585,0.0109847831073941,0.431975459756718,1.1957816347219,67,"[""NREP"",""VCAN"",""ID3"",""VCL"",""CNN2"",""ELOVL6"",""THYN1"",""JADE1"",""CYB5A"",""EML4"",""SRSF7"",""POLR2I"",""CTSC"",""COA1"",""ADAM10""]"
"MIR7849_3P",0.182814071956692,0.681424846721388,0.0126887770428637,0.648208336164802,1.27090365761465,10,"[""SKIL"",""LIN7C"",""CENPU""]"
"IK3_01",0.182874101363625,0.681490775977666,0.0164435029595141,-0.627758100506264,-1.29746586178658,8,"""TRAPPC3"""
"CREBP1_01",0.182965941269419,0.681675190910023,0.0125365411471492,0.622256685880341,1.26735510651909,12,"[""NREP"",""TUBB2B"",""JMJD1C"",""CALM2""]"
"HP_ABNORMALITY_OF_THE_SHOULDER_GIRDLE_MUSCULATURE",0.183078694014232,0.681806146055445,0.0166322298518295,-0.605118797091851,-1.28892539658343,9,"[""LMNA"",""DNM1L"",""PSAP"",""VCP""]"
"GSE3982_EOSINOPHIL_VS_EFF_MEMORY_CD4_TCELL_DN",0.183085813187427,0.681806146055445,0.0117417917829376,0.505219888941466,1.23363467744387,30,"[""HSPB1"",""QSER1"",""HNRNPA1"",""GLG1"",""RO60"",""PDIA6""]"
"RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_MODERATELY_DN",0.18317182290857,0.681968653646409,0.0132467794340536,0.752002635670941,1.26744350019186,5,"[""DMKN"",""H3-3B"",""HIF1A"",""MAPK6""]"
"MIR7161_5P",0.183318649045521,0.682357459849136,0.0120795701795796,0.550575710715499,1.24802414405208,20,"[""AK4"",""PAN3"",""STRN3"",""CTBP2"",""YWHAQ"",""NUCKS1"",""CTSC"",""TIA1"",""PSMA5""]"
"GOBP_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION",0.183532680730107,0.682783532815111,0.0126606924876203,0.647722390591871,1.26995089293765,10,"[""POLR3G"",""DHX36"",""GAPDH"",""DHX33"",""HMGB2"",""HSPD1""]"
"GOBP_RESPONSE_TO_EXTRACELLULAR_STIMULUS",0.183560381888225,0.682783532815111,0.0117243083446187,0.505059581372446,1.23324324199066,30,"[""SFRP1"",""MAP1B"",""IGF1R"",""TP53"",""HNRNPA1"",""DNMT3A"",""SLC38A2"",""TBL1XR1""]"
"GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION",0.183543091501132,0.682783532815111,0.0103421502082324,0.389042585667697,1.16309085151641,133,"[""SFRP1"",""PTBP2"",""ID3"",""POU5F1"",""YBX3"",""PAN3"",""TP53"",""LAPTM4B"",""CTBP1"",""LSM6"",""DNMT3A"",""CSDE1"",""GLG1"",""DDX5"",""SRSF7"",""CD24"",""TRIM71"",""TNRC6B"",""CTNNB1"",""JARID2"",""TMSB4X"",""ADAM10"",""MTPAP"",""NUP155"",""DHX36"",""RAC1"",""TIA1"",""HNRNPL"",""GAPDH"",""DNMT1"",""HNRNPD"",""CNPY2"",""AGO2"",""HIF1A"",""DCP2"",""ADNP"",""FXR1"",""LIN28A"",""EIF4E2""]"
"GSE14350_IL2RB_KO_VS_WT_TEFF_DN",0.183651879540165,0.682966035397171,0.0117920279065435,0.511874296965861,1.23440667121412,28,"[""VCAN"",""TERF1"",""STRN3"",""ADAM10"",""HSP90B1"",""SLC16A1"",""CENPU"",""CHD7""]"
"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY",0.183745473677695,0.683156248288866,0.0124290681094359,0.609937340302194,1.26428130271782,13,"[""BEX3"",""TP53"",""YWHAQ"",""CALM2"",""RAC1""]"
"GSE34156_UNTREATED_VS_6H_NOD2_LIGAND_TREATED_MONOCYTE_DN",0.184202645370601,0.68320662856352,0.0161615477204675,-0.653259763530946,-1.30334216623021,7,"[""GTF2F1"",""DYNC1I2"",""LUC7L3"",""LSM14A"",""RAB1A""]"
"PID_P75_NTR_PATHWAY",0.184020977323125,0.68320662856352,0.0127384663647122,0.663823078108948,1.27082881968587,9,"[""BEX3"",""TP53"",""RTN4"",""CASP3"",""RAC1""]"
"GSE3982_EFF_MEMORY_CD4_TCELL_VS_TH2_UP",0.184137322749169,0.68320662856352,0.0130736553509652,0.725761432905423,1.27061980639721,6,"[""QSER1"",""EEF1D"",""SRSF5""]"
"GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP",0.184171848501979,0.68320662856352,0.0172810666178765,-0.539059184344937,-1.26254306142913,13,"[""HIC2"",""SAFB"",""NDUFV1"",""POLR2A"",""ARIH2""]"
"GSE3982_EFF_MEMORY_VS_CENT_MEMORY_CD4_TCELL_UP",0.184026127355525,0.68320662856352,0.0123536290629273,0.599010962747834,1.26197571624188,14,"[""VCL"",""ELOVL6"",""EIF3I"",""MSH6"",""UBB"",""TUBA1C"",""GAPDH""]"
"GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_ADULT_DN",0.184111600587371,0.68320662856352,0.0120498090523626,0.550205490646088,1.24718494323693,20,"[""TUBB2B"",""ID3"",""PFN2""]"
