Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR2977643	(1.0, 44.27807114105483)	(2.0, 22.394815593577018)	(3.0, 8.612227186636755)	(4.0, 3.303463991768898)	(5.0, 1.5855254552276143)	(6.0, 1.040697729640706)	(7.0, 0.7278470518818048)	(8.0, 0.570101881825705)	(9.0, 0.4735122695401843)	('>10', 6.349275793909487)	('>50', 3.0194681861645085)	('>100', 5.62570464216313)	('>500', 0.748650548072822)	('>1k', 0.3195390895770233)	('>5k', 0.3780215403407036)	('>10k+', 0.5730778986189239)
SRR2977644	(1.0, 37.836092498600706)	(2.0, 23.122609605527845)	(3.0, 10.561747363716703)	(4.0, 4.398658586249319)	(5.0, 2.0365291812742536)	(6.0, 1.2148917864046436)	(7.0, 0.8504647475743954)	(8.0, 0.6058549052717889)	(9.0, 0.49181590955992216)	('>10', 5.918488817780125)	('>50', 3.026317403729493)	('>100', 6.668610142883632)	('>500', 1.5415127324408286)	('>1k', 0.6040393891712516)	('>5k', 0.27837771613521045)	('>10k+', 0.8439892136797883)
SRR2977645	(1.0, 45.28227895427649)	(2.0, 22.88936181516892)	(3.0, 8.726288745366226)	(4.0, 3.3366995188758843)	(5.0, 1.6760252904450477)	(6.0, 1.0417377047933025)	(7.0, 0.6991952580648072)	(8.0, 0.5804876552846245)	(9.0, 0.44881662216556784)	('>10', 5.7075995270231195)	('>50', 2.6611985726523013)	('>100', 5.005267640399865)	('>500', 0.7812598272716422)	('>1k', 0.3183422275856836)	('>5k', 0.4815920590339541)	('>10k+', 0.3638485815925317)
SRR2977646	(1.0, 41.961432625638714)	(2.0, 20.071968198921777)	(3.0, 7.412952994664784)	(4.0, 3.0073946225911667)	(5.0, 1.44480327147245)	(6.0, 0.9556791808155443)	(7.0, 0.7078070020344729)	(8.0, 0.5617330157437228)	(9.0, 0.4118733404278311)	('>10', 6.231510472393402)	('>50', 3.86640646765175)	('>100', 8.951524916364544)	('>500', 1.9782535319268713)	('>1k', 1.0217482895007588)	('>5k', 0.0)	('>10k+', 1.4149120698522042)
SRR2977647	(1.0, 46.32360732614746)	(2.0, 22.363110357942762)	(3.0, 8.124845769303263)	(4.0, 3.158184208291788)	(5.0, 1.595507172395846)	(6.0, 1.0180022461060034)	(7.0, 0.7277228982162933)	(8.0, 0.5638245003857221)	(9.0, 0.47526855369686904)	('>10', 5.9016048933975345)	('>50', 2.818204429534685)	('>100', 4.969958778225095)	('>500', 0.8774721225603586)	('>1k', 0.18193314612727968)	('>5k', 0.4838463730842889)	('>10k+', 0.41690722458471796)
SRR2977648	(1.0, 43.6608463347166)	(2.0, 22.733841058459745)	(3.0, 9.20102971548468)	(4.0, 3.57344507077927)	(5.0, 1.8365871962453226)	(6.0, 1.0732938333273336)	(7.0, 0.7984659378460266)	(8.0, 0.60505970356112)	(9.0, 0.4902209786384615)	('>10', 5.989448779633151)	('>50', 2.6638589581582193)	('>100', 5.210964604769621)	('>500', 0.9547279763294833)	('>1k', 0.32839757178496404)	('>5k', 0.4678199337347411)	('>10k+', 0.41199234653129724)
SRR2977649	(1.0, 17.855371795396703)	(2.0, 19.15521359636177)	(3.0, 16.88075542457927)	(4.0, 11.50806490569272)	(5.0, 6.652516686044449)	(6.0, 3.8159725324363554)	(7.0, 2.199076006165787)	(8.0, 1.4925076455382615)	(9.0, 1.0084629671856113)	('>10', 7.893946157983005)	('>50', 2.8186472772060207)	('>100', 5.735819216848976)	('>500', 1.5916454712357124)	('>1k', 0.48158291175090506)	('>5k', 0.5145823727259375)	('>10k+', 0.39583503284844346)
SRR2977650	(1.0, 26.567273883241583)	(2.0, 24.386851306715567)	(3.0, 16.9513558773876)	(4.0, 9.196168161177521)	(5.0, 4.523114541822534)	(6.0, 2.370122502877428)	(7.0, 1.3370333456445163)	(8.0, 0.893458884663549)	(9.0, 0.6667869309560629)	('>10', 5.595584058409198)	('>50', 2.2392876234508687)	('>100', 3.656748748896383)	('>500', 0.6269485036976872)	('>1k', 0.20007691929035323)	('>5k', 0.40160413841448006)	('>10k+', 0.38758457335466956)
SRR2977651	(1.0, 15.512926443280788)	(2.0, 17.459053087237294)	(3.0, 16.932415796355517)	(4.0, 12.525965751559456)	(5.0, 7.707509749358883)	(6.0, 4.450250130946526)	(7.0, 2.5254304612639165)	(8.0, 1.4722327231340733)	(9.0, 1.0281253259770051)	('>10', 7.744222980891045)	('>50', 2.8614429875019907)	('>100', 6.302588070833084)	('>500', 1.6679674674420903)	('>1k', 0.744598407465434)	('>5k', 0.6406945922121159)	('>10k+', 0.42457602454071464)
SRR2977652	(1.0, 26.469782358511495)	(2.0, 24.241930868289387)	(3.0, 16.230038574793547)	(4.0, 8.806357882414106)	(5.0, 4.435316332804756)	(6.0, 2.337969205703708)	(7.0, 1.3421156562195893)	(8.0, 0.9312608330250343)	(9.0, 0.6573825072521465)	('>10', 6.117860493186933)	('>50', 2.5071566308732915)	('>100', 4.276722928242708)	('>500', 0.6897794314815883)	('>1k', 0.20538446526543988)	('>5k', 0.36631842192666364)	('>10k+', 0.3846234100096367)
