"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GSE19923_WT_VS_HEB_AND_E2A_KO_DP_THYMOCYTE_UP",0.391562869107699,0.834618511228766,0.00710868251270256,-0.409967219938937,-1.0533577252773,40,"[""CUTA"",""PCLAF"",""CYB5A"",""CDC123"",""MSH2"",""SSRP1"",""ATP5MC2"",""MRPS21"",""HMGB3"",""DGUOK"",""MAD2L1""]"
"GSE25890_CTRL_VS_IL33_IL7_TREATED_NUOCYTES_UP",0.39199035309703,0.835119522782275,0.00832880541847416,-0.626031701837865,-1.09426868221712,6,"[""TUBA1B"",""SSBP1"",""NDUFS5"",""CLNS1A"",""NONO""]"
"HP_APLASIA_HYPOPLASIA_OF_THE_RIBS",0.39210924098575,0.835119522782275,0.00832716372256111,-0.625968204943992,-1.09415769316947,6,"""DNMT3A"""
"MANNE_COVID19_COMBINED_COHORT_VS_HEALTHY_DONOR_PLATELETS_UP",0.392020152771006,0.835119522782275,0.00809177803588553,-0.568856987528357,-1.08730624126727,9,"[""IFITM2"",""IFITM3""]"
"GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY",0.391853779391371,0.835119522782275,0.00787101337233826,-0.518970650292081,-1.07490495551097,13,"[""SFRP1"",""VCL"",""PTEN"",""CTNNB1"",""ACTG1"",""RAC1""]"
"HP_ABNORMAL_ADIPOSE_TISSUE_MORPHOLOGY",0.392007418784594,0.835119522782275,0.00749144234616056,-0.456330691813557,-1.06117080648807,23,"[""IGF1R"",""FGFR1"",""PHGDH"",""VCL"",""PTEN"",""TBL1XR1"",""MT-ND5""]"
"GSE17721_PAM3CSK4_VS_GADIQUIMOD_16H_BMDC_DN",0.392093694419276,0.835119522782275,0.0125432224891382,0.369818882448506,1.03039189348655,26,"[""SAFB"",""RHOC"",""TIMM44"",""IMP4"",""KIF5B"",""GRB2"",""TIMM50""]"
"PID_HEDGEHOG_GLI_PATHWAY",0.392228793890844,0.835153120475345,0.0105649660039365,0.540787582848444,1.07577162686447,7,"[""HDAC1"",""SAP18""]"
"GOBP_POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY",0.392217713058009,0.835153120475345,0.0137960914303356,0.3333026801577,1.02615838713233,41,"[""NLRP2"",""RCC2"",""CTSD"",""RANGAP1"",""RHOC"",""ANP32B"",""CALM3"",""CORO1C"",""RALBP1"",""PSAP""]"
"AR_Q2",0.392346225718817,0.835292659119625,0.00790524025320304,-0.529038572392238,-1.07732015552616,12,"[""MAP1B"",""SKIL""]"
"MORI_LARGE_PRE_BII_LYMPHOCYTE_UP",0.392472459386958,0.835450897213739,0.00716953690284929,-0.41801287702005,-1.0552230875906,36,"[""TUBA1A"",""XRCC6"",""NUCKS1"",""PPP2R5C"",""RBBP4"",""CALM2""]"
"DCA_UP.V1_DN",0.392601776524737,0.835606156046897,0.00832036956217834,-0.625805322219134,-1.09387298320324,6,"""SKIL"""
"SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES",0.392825561024443,0.835606156046897,0.00822141492047597,-0.603617117560894,-1.09185674519919,7,"[""PTEN"",""YWHAQ""]"
