"","x"
"EIF2A",530
"ATP6V0B",238
"CNOT2",38.5
"KMT5A",-5720.5
"RPL10P16",-1762.5
"AZIN1",341
"PYCR2",-6504.5
"EIF4A2",205
"RPS18P5",-2780
"H2AZ1",112
"USP10",-470
"NEMF",-720
"LMAN2",568
"CDC42SE2",-4222
"ARPC1A",-8901
"HCFC1R1",-11556
"HAUS1",-12296
"GOLGA4",318
"PRPSAP2",-5711.5
"PDCD6IP",-3638.5
"COMMD9",-1435.5
"SLC44A2",-15793
"PKN2",337.5
"EPCAM",-11523.5
"UQCC5",-5653
"GNAS",-3988
"WDR46",-1686
"ACTB",-6330
"SCFD1",-4469
"NUP93",-1603
"SNHG1",-436
"TMED5",-6186.5
"SHMT2",-3612
"STOML2",-196
"ZNF24",-683
"RPL8",177
"SENP5",-6093
"SNW1",96
"PPWD1",-482.5
"COA8",-1269
"MRPS22",-3769
"ARPP19",579
"BAG6",-11265
"ILF2",-153
"SHISA5",-9181
"CLINT1",441
"COPS9",-3158
"B3GALNT2",-2528
"SRRT",-1200
"TRMT6",257
"HNRNPH1",268
"EXOSC9",-5167
"NKIRAS2",-5801.5
"C19orf53",439
"TMEM183A",-20
"CCDC34",-4739
"RPL27",-2553.5
"ATP6V1E1",-3747
"KNOP1",-1736
"SMG5",-4315.5
"TNPO3",-3385
"ARCN1",583
"RAB14",-6119
"SNHG8",312
"HSPA4",-5502
"PSMG2",-9606.5
"HNRNPA2B1",707
"TAX1BP1",-127
"NAA35",-192
"RSBN1L",453
"SINHCAF",577
"CLIC4",-4941.5
"UROD",-38.5
"TMEM126A",-2383.5
"WDR45",-3834
"MRPS24",-3293
"LARS1",-2934
"LRRFIP1",-2689
"RBM3",-4562.5
"WDR74",-5268
"CTR9",419
"BAIAP2L1",-2141
"RAN",-533
"DNAJA3",-6705
"EYA3",-5977
"AGPS",-3438.5
"MIDEAS",-6991.5
"ELOA",31
"HNRNPA1",-535
"ARF1",841
"CCNL2",161
"CCNB2",-3166
"RPL30",741
"NANS",-3251
"UCK2",-11163
"SNRPD3",738
"KIN",-564
"RPL8P3",-175
"VAMP8",-11590.5
"NAA20",-6753
"SLC4A1AP",182
"ALG13",-167
"CCNDBP1",-5362
"AKAP12",-14926.5
"RER1",-7578
"LDHA",-9333
"IMPDH1",-7006.5
"RAP2B",-6936
"OST4",-2806
"TMEM256",-6973
"VTA1",-2818
"DDX5",335.5
"BRWD1",-1733.5
"PCNT",-4647.5
"RACGAP1",-7318
"DAZAP1",-10447
"DDX39A",-416
"TUBA1B",-1689
"CD320",-15267.5
"DDX19A",-6530
"DYNLT1",-7656
"PELP1",-13933
"CISD1",-29
"SCO1",108
"TARDBP",810
"UBE2C",812
"ATP2A2",-145
"DLD",-1884
"VPS72",-2644.5
"RPL34",-5593
"RPL32",-2728
"ATF4",768
"AP3S1",-1043.5
"GTF2H1",-3237
"SF3B5",73.5
"RAB11FIP4",-14802
"RPS3A",-3527
"OFD1",-457
"EXOSC10",689
"EPS15",-3001
"TNPO1",-1090
"GSPT1",-1917
"TRAPPC1",-107
"TIMM8B",-4659
"PPP1CA",11.5
"CNPY2",-10412.5
"RBMS1",-11758.5
"ZMAT2",62
"PSME3IP1",-2930
"GPBP1",460
"COA6",-924
"MFAP1",-5329.5
"E2F4",-10991.5
"ATPAF2",-2495
"NUDCD1",-1929
"NELFA",-4758
"RPL6",-2763
"COA7",-10955.5
"RPL37P11",-3266
"CCNC",-3056.5
"FEN1",-8092
"ARF4",517
"SNU13",377.5
"SP3",-371.5
"ATAD1",-1693
"LIMA1",-7266.5
"LTN1",-106
"PNO1",63
"ZNF706",-6882
"PPHLN1",473
"PAXX",-13497
"CASP3",-3100
"NELFE",430
"ERP29",-7236.5
"DNAJB12",-3030
"ADPGK",-663.5
"CLIP1",-3105
"RHOA",763
"RMND1",-5411.5
"WASHC2A",-252.5
"COX10",668
"SRSF2",415
"NASP",899
"MRPL18",604
"PFN1",909
"SLU7",-157
"EIF4E2",-2918.5
"FURIN",-4433.5
"KIF20B",-963
"MCM7",403
"MOB4",-7090
"SNRPD2",-4750
"TOMM7",-6380
"ARGLU1",872
"RPS2",242
"MIEF1",-2865
"SNF8",-107
"NOC3L",805
"TMEM41B",-870
"TMEM69",-5832
"AEBP2",-1779
"SPTLC1",-4901
"TALDO1",-761
"EIF6",-486.5
"GOT1",-4520.5
"GUCD1",-2453
"RNF4",-1573
"ATP2C1",-2696
"ATG5",-2397.5
"VPS33A",-9343
"DNTTIP2",829
"RANGAP1",-10754.5
"ETFB",-11418.5
"CHERP",-619
"MED4",911
"METTL16",-1350
"SF1",618
"SEM1",-2035
"RPL23A",231
"COX17",-3135
"KIF23",279
"CDC26",-1056.5
"TMF1",-3178.5
"COPZ1",-10248
"CHMP2A",-4358.5
"MRPS14",44
"ISCA1",-1658
"ORC3",-2476
"RPL22",-4972
"PIN1",-8865
"NUDT1",-9563.5
"RPS18P12",-1442.5
"SEPTIN7",-832
"DDX46",-1122.5
"CCDC137",573
"GPAT4",-2756
"NFU1",-2553.5
"CBX1",756
