.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR2977657	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977658	1	1	1	1	0.25	0.5	1	1	0.5	0.25	1
SRR2977659	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977660	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977661	1	1	0.5	1	0.25	0.5	1	1	0.5	0.25	1
SRR2977662	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977663	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977664	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977665	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977666	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977667	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1
SRR2977668	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2977669	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977670	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977671	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977672	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR2977673	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2977674	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2977675	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977676	1	1	0.5	1	0.25	0.5	1	1	0.5	0.25	1
SRR2977677	1	1	0.5	1	0.25	0.5	1	1	0.5	0.25	1
SRR2977678	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2977679	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977680	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR2977681	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977682	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2977683	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2977684	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977685	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2977686	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2977687	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2977688	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2977689	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2977690	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2977691	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2977692	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2977693	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2977694	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2977695	1	1	0.5	1	0.25	0.5	1	1	0.5	0.25	1
SRR2977696	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2977697	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2977698	1	1	0.25	1	0.25	1	1	1	1	0.5	1
SRR2977699	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977700	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977701	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977702	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2977703	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977704	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2977705	1	1	0.5	1	0.25	0.5	1	1	0.5	0.25	1
SRR2977706	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2977707	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2977708	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2977709	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977710	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2977711	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2977712	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2977713	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2977714	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2977715	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2977716	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2977717	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2977718	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2977719	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2977720	1	1	0.5	1	0.25	0.5	1	1	0.5	0.25	1
