.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR2977994	1	1	0.5	1	0.5	0.25	1	1	0.25	1	1
SRR2977995	1	1	0.5	1	0.25	0.25	1	1	0.25	1	1
SRR2977996	1	1	0.5	1	0.25	0.25	1	1	0.25	1	1
SRR2977997	1	1	0.5	1	0.25	0.25	1	1	0.25	0.5	1
SRR2977998	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2977999	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2978000	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978001	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2978002	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978003	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2978004	1	1	0.5	1	0.25	0.25	1	1	0.25	1	1
SRR2978005	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
SRR2978006	1	1	0.5	1	0.25	0.25	1	1	0.25	1	1
SRR2978007	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
SRR2978008	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
SRR2978009	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
SRR2978010	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978011	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2978012	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978013	1	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR2978014	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2978015	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978016	1	1	0.5	1	0.25	0.25	1	1	0.25	1	1
SRR2978017	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
SRR2978018	1	1	0.5	1	0.25	0.25	1	1	0.25	1	1
SRR2978019	1	1	0.5	1	0.25	0.5	1	1	0.5	1	1
SRR2978020	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
SRR2978021	1	1	0.5	1	0.25	0.25	1	1	0.25	1	1
SRR2978022	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978023	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2978024	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2978025	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2978026	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978027	1	1	0.5	1	0.25	0.5	1	1	0.5	1	1
SRR2978028	1	1	0.5	1	0.25	0.5	1	1	0.25	1	1
SRR2978029	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978030	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978031	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978032	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978033	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978034	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2978035	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2978036	1	1	0.25	1	0.25	0.25	1	1	0.25	1	1
SRR2978037	1	1	0.25	1	0.25	0.25	1	1	0.25	1	1
SRR2978038	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978039	1	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR2978040	1	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR2978041	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978042	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978043	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978044	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978045	1	1	0.25	1	0.25	0.25	1	1	0.25	1	1
SRR2978046	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978047	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2978048	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2978049	1	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR2978050	1	1	1	1	0.25	0.25	1	1	0.25	1	1
SRR2978051	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2978052	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2978053	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2978054	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978055	1	1	0.25	1	0.25	0.25	1	1	0.25	1	1
SRR2978056	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978057	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2978058	1	1	1	1	0.25	0.5	1	1	0.25	1	1
SRR2978059	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2978060	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2978061	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978062	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2978063	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2978064	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2978065	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2978066	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2978067	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978068	1	1	0.25	1	0.25	1	1	1	0.25	1	1
SRR2978069	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978070	1	1	0.25	1	0.25	1	1	1	0.25	1	1
SRR2978071	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978072	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978073	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978074	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978075	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978076	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978077	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978078	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978079	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978080	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978081	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978082	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978083	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978084	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978085	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978086	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978087	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978088	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978089	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2978090	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978091	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978092	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978093	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978094	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978095	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978096	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978097	1	1	0.25	1	0.25	0.5	0.5	1	1	0.5	1
SRR2978098	1	1	0.25	1	0.25	0.5	0.5	1	0.5	1	1
SRR2978099	1	1	0.25	1	0.25	0.25	0.5	1	0.5	1	1
SRR2978100	1	1	0.25	1	0.25	0.5	0.5	1	0.5	1	1
SRR2978101	1	1	0.25	1	0.25	0.5	0.5	1	0.5	1	1
SRR2978102	1	1	0.25	1	0.25	0.5	0.5	1	0.5	1	1
SRR2978103	1	1	0.25	1	0.25	0.25	1	1	0.5	1	1
SRR2978104	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978105	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978106	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978107	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978108	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978109	1	1	0.25	1	0.25	0.5	0.5	1	0.5	0.5	1
SRR2978110	1	1	0.25	1	0.25	0.5	0.5	1	1	1	1
SRR2978111	1	1	0.25	1	0.25	0.5	0.5	1	0.5	0.5	1
SRR2978112	1	1	0.25	1	0.25	0.5	0.5	1	0.5	0.5	1
SRR2978113	1	1	0.25	1	0.25	0.5	0.5	1	0.5	0.5	1
SRR2978114	1	1	0.25	1	0.25	0.5	0.5	1	0.5	0.5	1
SRR2978115	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978116	1	1	0.25	1	0.25	0.5	1	1	0.5	0.25	1
SRR2978117	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978118	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978119	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978120	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2978121	1	1	0.25	1	0.25	0.25	0.5	1	0.5	0.25	1
SRR2978122	1	1	0.25	1	0.25	0.25	0.5	1	1	0.5	1
SRR2978123	1	1	0.25	1	0.25	0.25	0.5	1	1	0.5	1
SRR2978124	1	1	0.25	1	0.25	0.5	0.5	1	0.5	0.5	1
SRR2978125	1	1	0.25	1	0.25	0.5	0.5	1	0.5	0.25	1
SRR2978126	1	1	0.25	1	0.25	0.25	0.5	1	1	0.5	1
SRR2978127	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978128	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978129	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978130	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978131	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978132	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978133	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978134	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2978135	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2978136	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2978137	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978138	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978139	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978140	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978141	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2978142	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2978143	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2978144	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2978145	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978146	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978147	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2978148	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2978149	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2978150	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978151	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978152	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978153	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978154	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978155	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978156	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978157	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2978158	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2978159	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978160	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978161	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978162	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978163	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
SRR2978164	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978165	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978166	1	1	0.25	1	0.25	1	1	1	0.25	1	1
SRR2978167	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978168	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978169	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978170	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978171	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978172	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2978173	1	1	0.25	1	0.25	1	1	1	0.25	1	1
SRR2978174	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978175	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978176	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2978177	1	1	0.25	1	0.25	1	1	1	0.5	1	1
SRR2978179	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978180	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978181	1	1	0.25	1	0.25	0.25	1	1	0.25	0.5	1
SRR2978182	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978183	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2978184	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978185	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978186	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978187	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2978188	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2978189	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2978190	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978191	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978192	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978193	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978194	1	1	0.25	1	0.25	1	1	1	0.5	0.5	1
SRR2978195	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978196	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2978197	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978198	1	1	0.25	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978199	1	1	0.25	1	0.25	0.5	1	1	0.5	1	1
SRR2978200	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978201	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978202	1	1	0.25	1	0.25	1	1	1	0.25	0.5	1
SRR2978203	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978204	1	1	0.25	1	0.25	0.5	1	1	0.25	1	1
SRR2978205	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978206	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978207	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978208	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978209	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978210	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978211	1	1	1	1	0.25	0.25	1	1	0.25	0.5	1
SRR2978212	1	1	1	1	0.25	0.25	1	1	0.25	0.5	1
SRR2978213	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978214	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978215	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2978216	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978217	1	1	1	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978218	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978219	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978220	1	1	1	1	0.25	1	1	1	0.25	0.5	1
SRR2978221	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978222	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978223	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978224	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2978225	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2978226	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2978227	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978228	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978229	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978230	1	1	1	1	0.25	0.5	1	1	1	0.5	1
SRR2978231	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2978232	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978233	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2978234	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978235	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978236	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978237	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978238	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978239	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978240	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978241	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978242	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978243	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2978244	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978245	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978246	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978247	1	1	0.5	1	0.25	0.5	1	1	1	0.5	1
SRR2978248	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978249	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978250	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978251	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978252	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978253	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978254	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978255	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978256	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978257	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978258	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978259	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978260	1	1	0.5	1	0.25	0.25	1	1	0.5	1	1
SRR2978261	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978262	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978263	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978264	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978265	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978266	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978267	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978268	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978269	1	1	1	1	0.25	0.5	1	1	0.5	1	1
SRR2978270	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978271	1	1	0.5	1	0.25	0.5	1	1	1	0.5	1
SRR2978272	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2978273	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978274	1	1	0.5	1	0.25	0.5	1	1	1	0.5	1
SRR2978275	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978276	1	1	0.5	1	0.25	1	1	1	0.25	0.5	1
SRR2978277	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2978278	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978279	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2978280	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978281	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978282	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978283	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978284	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978285	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978286	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978287	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978288	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978289	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978290	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978291	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978292	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2978293	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978294	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978295	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978296	1	1	0.5	1	0.25	0.5	1	1	0.25	0.5	1
SRR2978297	1	1	0.5	1	0.25	0.5	1	1	1	0.5	1
SRR2978298	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2978299	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978300	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978301	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2978302	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978303	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2978304	1	1	1	1	0.25	1	1	1	0.5	0.5	1
SRR2978305	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978306	1	1	0.5	1	0.25	1	1	1	0.5	0.5	1
SRR2978307	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978308	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978309	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978310	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978311	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978312	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978313	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978314	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978315	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978316	1	1	0.5	1	0.25	0.5	1	1	0.25	0.25	1
SRR2978317	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978318	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978319	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978320	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978321	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978322	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978323	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978324	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978325	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978326	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978327	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978328	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978329	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978330	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978331	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978332	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978333	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978334	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978335	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978336	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978337	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978338	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978339	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978340	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978341	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978342	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978343	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978344	1	1	0.25	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978345	1	1	0.25	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978346	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978347	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978348	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978349	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978350	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978351	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978352	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978353	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978355	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978356	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978357	1	1	0.5	1	0.25	0.25	1	1	0.5	0.5	1
SRR2978358	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978359	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978360	1	1	0.5	1	0.25	0.25	1	1	0.5	0.25	1
SRR2978361	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978362	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1
SRR2978363	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR2978364	1	1	1	1	0.25	0.25	1	1	0.5	0.25	1
