Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR2977643	(1.0, 44.175838458467716)	(2.0, 22.41780499721175)	(3.0, 8.634030000449496)	(4.0, 3.3144672316843726)	(5.0, 1.5821787359162767)	(6.0, 1.0432550601872859)	(7.0, 0.7334952704428831)	(8.0, 0.5719188127671103)	(9.0, 0.4713409651311938)	('>10', 6.366385179053656)	('>50', 3.0284285837264813)	('>100', 5.637948317088111)	('>500', 0.749840161116284)	('>1k', 0.31988795177446155)	('>5k', 0.37886660772191194)	('>10k+', 0.5743136672609935)
SRR2977644	(1.0, 37.72250219805202)	(2.0, 23.147749687635507)	(3.0, 10.593341577347335)	(4.0, 4.406998344176068)	(5.0, 2.0450152555209815)	(6.0, 1.217279671384997)	(7.0, 0.8492170963541765)	(8.0, 0.6085679965069938)	(9.0, 0.4936332609729919)	('>10', 5.918411913608638)	('>50', 3.044389093058745)	('>100', 6.678414344417597)	('>500', 1.5448936225179974)	('>1k', 0.6047713342985943)	('>5k', 0.2789275133405417)	('>10k+', 0.8458870908068055)
SRR2977645	(1.0, 45.18171226687231)	(2.0, 22.9093657104714)	(3.0, 8.748526116644483)	(4.0, 3.3441601220349497)	(5.0, 1.6831967317377814)	(6.0, 1.0482701452174437)	(7.0, 0.6940266066171884)	(8.0, 0.5843785523481848)	(9.0, 0.4466323387872665)	('>10', 5.718261544053989)	('>50', 2.671538484893513)	('>100', 5.021128762884366)	('>500', 0.7827166342671705)	('>1k', 0.3188845547014399)	('>5k', 0.4826415490713759)	('>10k+', 0.36455987939704776)
SRR2977646	(1.0, 41.87666705051844)	(2.0, 20.074405995270837)	(3.0, 7.438283575537887)	(4.0, 3.0102808505801404)	(5.0, 1.4503136513660615)	(6.0, 0.9516250352081532)	(7.0, 0.7148334363484278)	(8.0, 0.5624166218387087)	(9.0, 0.4135979999963453)	('>10', 6.232631879220987)	('>50', 3.8793316236516597)	('>100', 8.97263896050466)	('>500', 1.9817594654857817)	('>1k', 1.0236868288856535)	('>5k', 0.0)	('>10k+', 1.4175270255862469)
SRR2977647	(1.0, 46.23545961845528)	(2.0, 22.386087685316706)	(3.0, 8.146386208758178)	(4.0, 3.1713915189510145)	(5.0, 1.5921720579772227)	(6.0, 1.0236219153589516)	(7.0, 0.7235075709286107)	(8.0, 0.5647028813956605)	(9.0, 0.4740974170557594)	('>10', 5.907212965149544)	('>50', 2.8308410731414155)	('>100', 4.981096438075653)	('>500', 0.8790665362324454)	('>1k', 0.1820870258160011)	('>5k', 0.4847802058594182)	('>10k+', 0.41748888152810604)
SRR2977648	(1.0, 43.554781529716855)	(2.0, 22.772496986185573)	(3.0, 9.211293549440304)	(4.0, 3.575254439694585)	(5.0, 1.8493767351462804)	(6.0, 1.0749354105751903)	(7.0, 0.8002163738662524)	(8.0, 0.6108818607392668)	(9.0, 0.4900958390406306)	('>10', 6.004624436233406)	('>50', 2.6651888602237843)	('>100', 5.209665515428464)	('>500', 0.9711991596107692)	('>1k', 0.32862965857312143)	('>5k', 0.4685494239827338)	('>10k+', 0.4128102215427353)
SRR2977649	(1.0, 17.729247028844537)	(2.0, 19.150257267102468)	(3.0, 16.9033311752453)	(4.0, 11.534247164342885)	(5.0, 6.6729213008096835)	(6.0, 3.826696487105046)	(7.0, 2.203033411060182)	(8.0, 1.499716601171947)	(9.0, 1.0061448873436947)	('>10', 7.905745087962435)	('>50', 2.829143657073871)	('>100', 5.75054032734155)	('>500', 1.5944352006065718)	('>1k', 0.482207365387526)	('>5k', 0.5158401562550099)	('>10k+', 0.3964928823473031)
SRR2977650	(1.0, 26.45188358794795)	(2.0, 24.392795948830436)	(3.0, 16.968076387096254)	(4.0, 9.222100042832352)	(5.0, 4.544095234977851)	(6.0, 2.383246467936639)	(7.0, 1.3376832394621379)	(8.0, 0.8952631653938734)	(9.0, 0.66351211190813)	('>10', 5.607421111722094)	('>50', 2.2486399192115982)	('>100', 3.6658481242054877)	('>500', 0.6281347819613657)	('>1k', 0.20038695163079223)	('>5k', 0.40254638353493505)	('>10k+', 0.3883665413481308)
SRR2977651	(1.0, 15.37250989763753)	(2.0, 17.44661273094731)	(3.0, 16.937704109835828)	(4.0, 12.544529578235286)	(5.0, 7.746206430431579)	(6.0, 4.476699917177334)	(7.0, 2.529901810669857)	(8.0, 1.4763612772503667)	(9.0, 1.0403832942788804)	('>10', 7.7520209791079475)	('>50', 2.8817869141666432)	('>100', 6.311473750863832)	('>500', 1.6699259715031323)	('>1k', 0.7460883797720292)	('>5k', 0.6421134703328173)	('>10k+', 0.4256814877896156)
SRR2977652	(1.0, 26.372433044724293)	(2.0, 24.23983751908355)	(3.0, 16.250580742135757)	(4.0, 8.826554650656524)	(5.0, 4.4446610524520604)	(6.0, 2.3451400444412345)	(7.0, 1.3467166468910463)	(8.0, 0.9340426532928516)	(9.0, 0.6592640151551645)	('>10', 6.139268758452336)	('>50', 2.5063874626755216)	('>100', 4.2865467522539715)	('>500', 0.690741964663992)	('>1k', 0.20552033133570277)	('>5k', 0.367031825763806)	('>10k+', 0.3852725360221723)
