.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR1042228	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042229	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042230	1	1	1	0.25	1	1	1	1	0.5	1
ERR1042231	1	1	1	0.25	1	1	1	1	0.5	1
ERR1042232	1	1	1	0.25	1	1	1	1	0.5	1
ERR1042233	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042234	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042235	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042236	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042237	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042238	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042239	1	1	1	0.25	1	1	1	0.5	1	1
ERR1042240	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042241	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042242	1	1	1	0.25	0.25	1	1	0.5	0.25	1
ERR1042243	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042244	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042245	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1042246	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042247	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042248	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042249	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042250	1	1	1	0.25	0.25	1	1	0.5	0.5	1
ERR1042251	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042252	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042253	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042254	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1042255	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042256	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042257	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042258	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042259	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042260	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042261	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042262	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042263	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042264	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042265	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042266	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042267	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042268	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1042269	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042270	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042271	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1042272	1	1	1	0.5	0.25	1	1	0.25	0.5	1
ERR1042273	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042274	1	1	1	0.5	0.5	1	1	0.25	0.5	1
ERR1042275	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042276	1	1	1	0.5	0.5	1	1	0.25	0.5	1
ERR1042277	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042278	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042279	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042280	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042281	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042282	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042283	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042284	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042285	1	1	1	0.5	0.5	1	1	0.25	0.5	1
ERR1042286	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042287	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042288	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042289	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042290	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042291	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042292	1	1	1	0.25	0.25	1	1	0.25	0.5	1
ERR1042293	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042294	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042295	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042296	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042297	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042298	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042299	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042300	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042301	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042302	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042303	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042304	1	1	1	0.25	1	1	1	0.5	1	1
ERR1042305	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042306	1	1	1	0.25	1	1	1	0.25	1	1
ERR1042307	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042308	1	1	1	0.25	1	1	1	0.25	1	1
ERR1042309	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042310	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042311	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042312	1	1	1	0.25	1	1	1	1	1	1
ERR1042313	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042314	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042315	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042316	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042317	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042318	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042319	1	1	1	0.25	1	1	1	0.25	1	1
ERR1042320	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042321	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042322	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042323	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042324	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042325	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042326	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042327	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042328	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042329	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042330	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042331	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042332	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042333	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042334	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042335	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042336	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042337	1	1	1	0.25	1	1	1	0.25	0.25	1
ERR1042338	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042339	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042340	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042341	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042342	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042343	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042344	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042345	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042346	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042347	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042348	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042349	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042350	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042351	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042352	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042353	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042354	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042355	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042356	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042357	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042358	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042359	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042360	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042361	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042362	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042363	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042364	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042365	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042366	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042367	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042368	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042369	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042370	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042371	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042372	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042373	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042374	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042375	1	1	1	0.25	1	1	1	0.25	0.25	1
ERR1042376	1	1	1	0.25	1	1	1	0.5	0.25	1
ERR1042377	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042378	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042379	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042380	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042381	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042382	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042383	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042384	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042385	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042386	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042387	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042388	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042389	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042390	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042391	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042392	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042393	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042394	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042395	1	1	1	0.25	0.25	1	1	0.5	0.25	1
ERR1042396	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042397	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042398	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042399	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042400	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042401	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042402	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042403	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042404	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042405	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042406	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042407	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042408	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042409	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042410	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042411	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042412	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042413	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042414	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042415	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042416	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042417	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042418	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042419	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042420	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042421	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042422	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042423	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042424	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042425	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042426	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042427	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042428	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042429	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042430	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042431	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042432	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042433	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042434	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042435	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042436	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042437	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042438	1	1	1	0.5	1	1	1	0.25	0.5	1
ERR1042439	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042440	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1042441	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042442	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042443	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042444	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042445	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042446	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042447	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042448	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042449	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042450	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042451	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042452	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042453	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042454	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042455	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042456	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042457	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042458	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042459	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042460	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042461	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042462	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042463	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042464	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042465	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1042466	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042467	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1042468	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042469	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042470	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042471	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1042472	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1042473	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042474	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042475	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042476	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1042477	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042478	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042479	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042480	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042481	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042482	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042483	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042484	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042485	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042486	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042487	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042488	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042489	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042490	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042491	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042492	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042493	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042494	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042495	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042496	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042497	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042498	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042499	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042500	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042501	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042502	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042503	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042504	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042505	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042506	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042507	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042508	1	1	1	0.25	1	1	1	0.5	0.25	1
ERR1042509	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042510	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042511	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042512	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042513	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042514	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042515	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1042516	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042517	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042518	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042519	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042520	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042521	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042522	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042523	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042524	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042525	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042526	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042527	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042528	1	1	1	0.25	0.25	1	1	1	0.25	1
ERR1042529	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042530	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042531	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042532	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042533	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042534	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042535	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042536	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042537	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042538	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042539	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042540	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042541	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042542	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042543	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042544	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042545	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042546	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042547	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042548	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042549	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042550	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042551	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042552	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042553	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042554	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042555	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042556	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042557	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042558	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042559	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042560	1	1	1	0.25	1	1	1	0.25	1	1
ERR1042561	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042562	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042563	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042564	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042565	1	1	1	0.25	1	1	1	0.5	1	1
ERR1042566	1	1	1	0.25	1	1	1	0.5	1	1
ERR1042567	1	1	1	0.25	1	1	1	0.25	1	1
ERR1042568	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042569	1	1	1	0.25	1	1	1	1	0.5	1
ERR1042570	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042571	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042572	1	1	1	0.25	1	1	1	0.5	1	1
ERR1042573	1	1	1	0.25	1	1	1	0.5	1	1
ERR1042574	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042575	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042576	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042577	1	1	1	0.25	1	1	1	1	1	1
ERR1042578	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042579	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042580	1	1	1	0.25	1	1	1	0.25	1	1
ERR1042581	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042582	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042583	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042584	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042585	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042586	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042587	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042588	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042589	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042590	1	1	1	0.25	1	1	1	0.5	1	1
ERR1042591	1	1	1	0.25	1	1	1	0.5	1	1
ERR1042592	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042593	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042594	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042595	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042596	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042597	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042598	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042599	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042600	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042601	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042602	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042603	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042604	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042605	1	1	1	0.25	1	1	1	0.5	1	1
ERR1042606	1	1	1	0.25	1	1	1	0.5	1	1
ERR1042607	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042608	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042609	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042610	1	1	1	0.25	1	1	1	0.25	1	1
ERR1042611	1	1	1	0.25	1	1	1	0.5	1	1
ERR1042612	1	1	1	0.25	1	1	1	1	1	1
ERR1042613	1	1	1	0.25	1	1	1	0.5	1	1
ERR1042614	1	1	1	0.25	1	1	1	0.5	1	1
ERR1042615	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042616	1	1	1	0.25	1	1	1	0.5	1	1
ERR1042617	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042618	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042619	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042620	1	1	1	0.25	1	1	1	0.5	1	1
ERR1042621	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042622	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042623	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042624	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042625	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042626	1	1	1	0.25	1	1	1	0.5	1	1
ERR1042627	1	1	1	0.25	1	1	1	0.5	1	1
ERR1042628	1	1	1	0.25	1	1	1	1	1	1
ERR1042629	1	1	1	0.25	1	1	1	0.5	1	1
ERR1042630	1	1	1	0.25	1	1	1	1	0.5	1
ERR1042631	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042632	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042633	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042634	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1042635	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042636	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1042637	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042638	1	1	1	0.25	1	1	1	0.25	0.25	1
ERR1042639	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042640	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042641	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042642	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042643	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1042644	1	1	1	0.25	1	1	1	0.25	0.5	1
