.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR1041720	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041721	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1041722	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041723	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041724	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041725	1	1	1	0.25	0.25	1	1	0.5	0.25	1
ERR1041726	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041727	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041728	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041729	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041730	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041731	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041732	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1041733	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041734	1	1	1	0.5	0.25	1	1	0.25	0.25	1
ERR1041735	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041736	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041737	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041738	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041739	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041740	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041741	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041742	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041743	1	1	1	0.25	0.5	1	1	0.25	0.5	1
ERR1041744	1	1	1	0.25	0.5	1	1	0.5	0.5	1
ERR1041745	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1041746	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041747	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041748	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041749	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041750	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041751	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041752	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041753	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1041754	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041755	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041756	1	1	1	0.25	1	1	1	1	0.5	1
ERR1041757	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1041758	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041759	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041760	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041761	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041762	1	1	1	0.25	0.5	1	1	0.5	0.25	1
ERR1041763	1	1	1	0.25	0.25	1	1	0.25	0.25	1
ERR1041764	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041765	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041766	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041767	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041768	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041769	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041770	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041771	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041772	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041773	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041774	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041775	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041776	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041777	1	1	1	0.25	0.5	1	1	0.25	0.25	1
ERR1041778	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041779	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041780	1	1	1	0.25	1	1	1	0.5	0.5	1
ERR1041781	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041782	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041783	1	1	1	0.25	1	1	1	0.25	0.25	1
ERR1041784	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041785	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041786	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041787	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041788	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041789	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041790	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041791	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041792	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041793	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041794	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041795	1	1	1	0.25	1	1	1	0.25	0.5	1
ERR1041796	1	1	1	0.25	1	1	1	0.25	0.5	1
