Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR1041425	(1.0, 33.66808965802145)	(2.0, 12.08066159043313)	(3.0, 5.760255321505084)	(4.0, 3.490972785829144)	(5.0, 2.472232969247203)	(6.0, 1.828417136517308)	(7.0, 1.4650940205986245)	(8.0, 1.2016776848209005)	(9.0, 0.9500254094170161)	('>10', 11.461014475178489)	('>50', 3.9762162174135023)	('>100', 10.064860814904343)	('>500', 4.223396948726538)	('>1k', 5.184181056102281)	('>5k', 0.6122294753693158)	('>10k+', 1.560674435915706)
ERR1041426	(1.0, 32.156148042164766)	(2.0, 11.324585202466315)	(3.0, 5.706197211522831)	(4.0, 3.5590418846388703)	(5.0, 2.6601168521315675)	(6.0, 1.9277818286674786)	(7.0, 1.5914564565134186)	(8.0, 1.2967309348491973)	(9.0, 1.1366666229845246)	('>10', 12.911972939541341)	('>50', 4.325953296951011)	('>100', 10.496459789344387)	('>500', 4.148993274815355)	('>1k', 5.182148454598556)	('>5k', 0.3420312293654849)	('>10k+', 1.2337159794448966)
ERR1041427	(1.0, 28.659735465032377)	(2.0, 11.50298948635112)	(3.0, 6.054041987396417)	(4.0, 3.959933493001305)	(5.0, 2.76413310522765)	(6.0, 2.1784985579480742)	(7.0, 1.76210391885047)	(8.0, 1.505828647601642)	(9.0, 1.344443897672894)	('>10', 14.46831897217942)	('>50', 5.006046630467006)	('>100', 11.47007511257739)	('>500', 4.074658640494595)	('>1k', 3.4960461947116883)	('>5k', 0.0688669872426882)	('>10k+', 1.684278903245233)
ERR1041428	(1.0, 36.59011812741253)	(2.0, 11.814165205597687)	(3.0, 5.551221084940643)	(4.0, 3.285787497599743)	(5.0, 2.469496443798906)	(6.0, 1.7442439396018694)	(7.0, 1.5072238887072396)	(8.0, 1.185697253703254)	(9.0, 0.91891274687993)	('>10', 11.175202991064335)	('>50', 3.9234213954274977)	('>100', 10.339150363686327)	('>500', 3.6531940865017405)	('>1k', 4.277614196776202)	('>5k', 0.2853476668117052)	('>10k+', 1.2792031114904687)
ERR1041429	(1.0, 48.89675797829033)	(2.0, 11.544758700700434)	(3.0, 5.5436772252658075)	(4.0, 3.516723910543957)	(5.0, 2.540801249561003)	(6.0, 1.9829351491816891)	(7.0, 1.5807578897659331)	(8.0, 1.2406898857626323)	(9.0, 1.053151617741987)	('>10', 11.336807014094623)	('>50', 3.046861732195671)	('>100', 4.7895648639950394)	('>500', 1.0324954781319455)	('>1k', 0.9228846566808524)	('>5k', 0.13124453621117724)	('>10k+', 0.8398881118768319)
ERR1041430	(1.0, 50.44657199440189)	(2.0, 11.174991535793039)	(3.0, 5.71405632405887)	(4.0, 3.441503088484265)	(5.0, 2.4916824779925775)	(6.0, 1.9141444131931733)	(7.0, 1.5182348053606112)	(8.0, 1.2194253654300549)	(9.0, 1.1267230111703797)	('>10', 11.446850935361676)	('>50', 2.741208214495779)	('>100', 3.8962241917903735)	('>500', 0.9206353371706019)	('>1k', 0.8413578023593065)	('>5k', 0.16695605701907804)	('>10k+', 0.9394344459182968)
ERR1041431	(1.0, 48.31458399281175)	(2.0, 10.13842354576119)	(3.0, 4.979872476418688)	(4.0, 3.2230075164012226)	(5.0, 2.37322380105253)	(6.0, 1.7698690652560962)	(7.0, 1.5285708717275457)	(8.0, 1.3029638428143355)	(9.0, 1.1013547947788673)	('>10', 13.947822898251246)	('>50', 3.562813266729577)	('>100', 4.552714338524318)	('>500', 1.1206423528117837)	('>1k', 0.5379331857155729)	('>5k', 0.2181146109197144)	('>10k+', 1.328089440025548)
ERR1041432	(1.0, 49.60531769469888)	(2.0, 10.770767704761267)	(3.0, 5.512087739584289)	(4.0, 3.52336793636292)	(5.0, 2.529240691420619)	(6.0, 2.0021200905276064)	(7.0, 1.5856222687731618)	(8.0, 1.3541147491199816)	(9.0, 1.1685857262642032)	('>10', 12.73329670607159)	('>50', 3.1841950465382767)	('>100', 4.30605896838168)	('>500', 0.6336907654832064)	('>1k', 0.28823952219989507)	('>5k', 0.4863444425675883)	('>10k+', 0.3169499472448888)
ERR1041433	(1.0, 63.41701738011341)	(2.0, 9.927483147550847)	(3.0, 4.457865441589584)	(4.0, 2.606190225395455)	(5.0, 1.8121962155252667)	(6.0, 1.3133926276033427)	(7.0, 1.0833702593211156)	(8.0, 0.8125226390666164)	(9.0, 0.6384977320559084)	('>10', 6.758400285642703)	('>50', 1.987407901765997)	('>100', 2.3209196377976835)	('>500', 0.45305873724275186)	('>1k', 0.7988911336033337)	('>5k', 1.6127866357260157)	('>10k+', 0.0)
ERR1041434	(1.0, 60.10049335463078)	(2.0, 9.773998113545323)	(3.0, 4.261323064109135)	(4.0, 2.681404236240052)	(5.0, 1.858239752271387)	(6.0, 1.395366541096322)	(7.0, 1.039832267866128)	(8.0, 0.8546051889900735)	(9.0, 0.710121129641386)	('>10', 7.495744830867143)	('>50', 2.054817644320721)	('>100', 4.28114634011376)	('>500', 0.8933048617232939)	('>1k', 0.7698817956721655)	('>5k', 0.37200755119635887)	('>10k+', 1.4577133277159753)
ERR1041435	(1.0, 47.72399588167394)	(2.0, 11.172751609361661)	(3.0, 5.587500368221723)	(4.0, 3.708947587736429)	(5.0, 2.659508383042401)	(6.0, 1.971804650509524)	(7.0, 1.5765478236942354)	(8.0, 1.3910963854119112)	(9.0, 1.09746340758706)	('>10', 11.977794731330341)	('>50', 2.651371911525146)	('>100', 4.390818523525608)	('>500', 1.3149427895630683)	('>1k', 1.4700806796533228)	('>5k', 0.18404621045853106)	('>10k+', 1.1213290567050722)
ERR1041436	(1.0, 51.46185496655894)	(2.0, 8.327625751219673)	(3.0, 3.453599331093645)	(4.0, 2.1283289243488244)	(5.0, 1.4886045910667607)	(6.0, 1.186617272817252)	(7.0, 0.9649174902194286)	(8.0, 0.8377706352826327)	(9.0, 0.6789599656211448)	('>10', 9.024534700534288)	('>50', 3.3293717566660384)	('>100', 7.521656153092963)	('>500', 2.106018157782564)	('>1k', 2.911153182620684)	('>5k', 0.6729962827877212)	('>10k+', 3.9059908382874804)
ERR1041437	(1.0, 53.288421096549044)	(2.0, 9.757358363986274)	(3.0, 4.148269967716004)	(4.0, 2.439623271441784)	(5.0, 1.705505610935857)	(6.0, 1.3562269226733519)	(7.0, 1.034336276650227)	(8.0, 0.8747313689598187)	(9.0, 0.7428889491397912)	('>10', 8.662935562354695)	('>50', 2.8173714443077227)	('>100', 6.137045648496036)	('>500', 1.4947185922239057)	('>1k', 2.0997237366954864)	('>5k', 0.5269698608249708)	('>10k+', 2.9138733270449575)
ERR1041438	(1.0, 62.60274283257866)	(2.0, 8.876638603251848)	(3.0, 3.6136681754696953)	(4.0, 2.174990311056546)	(5.0, 1.3039627248101215)	(6.0, 1.110239218790009)	(7.0, 1.0850530353772097)	(8.0, 0.7894378836382144)	(9.0, 0.6753892074372498)	('>10', 7.155512405544032)	('>50', 1.8045121108174258)	('>100', 2.951006135788066)	('>500', 0.940125100475925)	('>1k', 4.916722254965)	('>5k', 0.0)	('>10k+', 0.0)
ERR1041439	(1.0, 53.94152769412626)	(2.0, 11.31202632329376)	(3.0, 4.993565431773416)	(4.0, 3.0365427987131355)	(5.0, 2.13213746604311)	(6.0, 1.6201287802212774)	(7.0, 1.3019603919717295)	(8.0, 1.0762468430661076)	(9.0, 0.9253391759087558)	('>10', 9.73142826922248)	('>50', 2.38621279832927)	('>100', 3.8436601330588127)	('>500', 0.6982124906408007)	('>1k', 0.7309517402205247)	('>5k', 0.841985011378384)	('>10k+', 1.4280746520322063)
