"","x"
"ENSG00000143368",-5556
"ENSG00000105341",-5582.5
"ENSG00000214108",-5584
"ENSG00000005339",-5585.5
"ENSG00000243687",-5592
"ENSG00000099995",-5608.5
"ENSG00000100348",-5678
"ENSG00000137693",-5690.5
"ENSG00000148187",-5710
"ENSG00000086061",-5723
"ENSG00000104442",-5731.5
"ENSG00000123200",-5762.5
"ENSG00000245864",-5780
"ENSG00000172270",-5805
"ENSG00000075292",-5832
"ENSG00000086589",-5847.5
"ENSG00000187239",-5892
"ENSG00000242993",-5892
"ENSG00000132432",-5916.5
"ENSG00000136819",-5925.5
"ENSG00000049245",-5937.5
"ENSG00000204387",-5955.5
"ENSG00000085415",-6004
"ENSG00000135250",-6133
"ENSG00000185088",-6157
"ENSG00000163374",-6181.5
"ENSG00000124214",-6193.5
"ENSG00000161542",-6195
"ENSG00000137807",-6208
"ENSG00000100307",-6220
"ENSG00000152942",-6226.5
"ENSG00000258647",-6286
"ENSG00000127423",-6304.5
"ENSG00000052723",-6332
"ENSG00000099917",-6335.5
"ENSG00000017260",-6351
"ENSG00000259674",-6370.5
"ENSG00000163513",-6393
"ENSG00000109171",-6455.5
"ENSG00000213272",-6456
"ENSG00000257332",-6542.5
"ENSG00000232875",-6565.5
"ENSG00000198836",-6590.5
"ENSG00000248640",-6603
"ENSG00000253332",-6614
"ENSG00000033030",-6671.5
"ENSG00000237542",-6691
"ENSG00000051596",-6693
"ENSG00000185591",-6760
"ENSG00000229753",-6831
"ENSG00000166181",-6888.5
"ENSG00000240914",-6899.5
"ENSG00000120727",-6926.5
"ENSG00000168172",-6943.5
"ENSG00000165219",-6990
"ENSG00000154144",-7024.5
"ENSG00000139496",-7044
"ENSG00000254612",-7127
"ENSG00000163950",-7140
"ENSG00000149658",-7147
"ENSG00000198162",-7176
"ENSG00000112592",-7244
"ENSG00000130669",-7257.5
"ENSG00000250672",-7257.5
"ENSG00000143013",-7261
"ENSG00000167371",-7275
"ENSG00000134697",-7296
"ENSG00000218069",-7303.5
"ENSG00000169062",-7315
"ENSG00000063978",-7328
"ENSG00000234982",-7353.5
"ENSG00000213144",-7371.5
"ENSG00000224594",-7393
"ENSG00000185896",-7393.5
"ENSG00000240271",-7415.5
"ENSG00000111364",-7436
"ENSG00000242052",-7445
"ENSG00000176171",-7451
"ENSG00000233476",-7480.5
"ENSG00000172534",-7497
"ENSG00000229911",-7518.5
"ENSG00000117360",-7541
"ENSG00000168827",-7573.5
"ENSG00000170027",-7649
"ENSG00000198876",-7653
"ENSG00000132819",-7666.5
"ENSG00000136108",-7674
"ENSG00000206228",-7686.5
"ENSG00000228292",-7691
"ENSG00000236238",-7726
"ENSG00000162222",-7744.5
"ENSG00000196821",-7815
"ENSG00000163605",-7829
"ENSG00000235776",-7832.5
"ENSG00000204569",-7908
"ENSG00000163812",-7915
"ENSG00000153037",-7935
"ENSG00000175354",-7935.5
"ENSG00000157020",-7945.5
"ENSG00000230502",-7951.5
"ENSG00000174780",-8044
"ENSG00000174718",-8072
"ENSG00000108510",-8099.5
"ENSG00000143569",-8140
