"","x"
"ENSG00000251118",-2623.5
"ENSG00000143549",-2640
"ENSG00000065427",-2640
"ENSG00000146247",-2645.5
"ENSG00000108671",-2658.5
"ENSG00000198712",-2667
"ENSG00000111832",-2671
"ENSG00000198618",-2718
"ENSG00000115053",-2735
"ENSG00000213621",-2748
"ENSG00000182944",-2752.5
"ENSG00000188846",-2766
"ENSG00000225200",-2771
"ENSG00000164258",-2790
"ENSG00000105618",-2799
"ENSG00000213609",-2806
"ENSG00000110696",-2816
"ENSG00000198899",-2817
"ENSG00000196531",-2825
"ENSG00000140319",-2838
"ENSG00000237709",-2842.5
"ENSG00000128245",-2846
"ENSG00000241061",-2847
"ENSG00000253488",-2848
"ENSG00000235552",-2864
"ENSG00000270225",-2868
"ENSG00000114686",-2883.5
"ENSG00000230383",-2893
"ENSG00000100811",-2928
"ENSG00000260212",-2929.5
"ENSG00000145555",-2934.5
"ENSG00000271227",-2956
"ENSG00000213619",-2967
"ENSG00000259045",-2974
"ENSG00000144674",-2977
"ENSG00000230916",-2990
"ENSG00000228501",-3036
"ENSG00000099901",-3051
"ENSG00000189043",-3051
"ENSG00000128692",-3067
"ENSG00000242697",-3069.5
"ENSG00000100354",-3070
"ENSG00000187514",-3073
"ENSG00000105202",-3075.5
"ENSG00000175061",-3079
"ENSG00000161203",-3092
"ENSG00000137692",-3101
"ENSG00000225093",-3102
"ENSG00000114867",-3104
"ENSG00000226945",-3105
"ENSG00000090273",-3105
"ENSG00000205937",-3115
"ENSG00000171863",-3126
"ENSG00000130811",-3143
"ENSG00000151725",-3151
"ENSG00000142168",-3170
"ENSG00000225972",-3183
"ENSG00000212907",-3189.5
"ENSG00000147684",-3195
"ENSG00000232186",-3201
"ENSG00000188529",-3206
"ENSG00000204138",-3210
"ENSG00000134717",-3211
"ENSG00000121089",-3228.5
"ENSG00000198938",-3230.5
"ENSG00000154723",-3248
"ENSG00000215102",-3250
"ENSG00000132963",-3251.5
"ENSG00000118816",-3252
"ENSG00000170348",-3254.5
"ENSG00000103275",-3255
"ENSG00000111605",-3260
"ENSG00000263266",-3261
"ENSG00000271396",-3262
"ENSG00000139239",-3273
"ENSG00000165678",-3283
"ENSG00000102898",-3296
"ENSG00000188229",-3299
"ENSG00000242327",-3301
"ENSG00000223668",-3308
"ENSG00000114784",-3337.5
"ENSG00000108298",-3352
"ENSG00000147601",-3360
"ENSG00000111642",-3363
"ENSG00000258841",-3374
"ENSG00000116288",-3375
"ENSG00000138668",-3378.5
"ENSG00000137409",-3379
"ENSG00000115875",-3390
"ENSG00000116161",-3405
"ENSG00000165119",-3427.5
"ENSG00000069275",-3435
"ENSG00000150459",-3509
"ENSG00000125977",-3523
"ENSG00000013810",-3526
"ENSG00000087263",-3547
"ENSG00000236334",-3548
"ENSG00000226701",-3564
"ENSG00000089280",-3591
"ENSG00000205581",-3598
"ENSG00000065978",-3603
"ENSG00000084623",-3617
"ENSG00000226327",-3624
"ENSG00000155368",-3651
"ENSG00000289323",-3685
"ENSG00000204469",-3693.5
"ENSG00000164032",-3705
"ENSG00000229604",-3738
"ENSG00000122566",-3745
"ENSG00000040633",-3752
"ENSG00000131236",-3773
"ENSG00000249565",-3792
"ENSG00000262902",-3797
"ENSG00000100138",-3804.5
"ENSG00000104904",-3811
"ENSG00000101057",-3823
"ENSG00000224411",-3829
"ENSG00000198804",-3840
