"","gene","zero.all","segIdx","rho","sigma","mu","mu.scaled","zero","segIdx_hESC","segIdx_non_hESC","segIdx_hESCvsnon_hESC"
"ENSG00000186676","ENSG00000186676",0,0.830567515847387,1,0.492893125434916,3.68741977908259,0.155999294530914,0,98,98,0
"ENSG00000229119","ENSG00000229119",0,0.83052266475302,1,0.493052417863873,4.73538071961577,0.211135802345817,0,99,99,0
"ENSG00000177694","ENSG00000177694",0,0.830447912929075,1,0.493552612135678,7.14376980918282,0.337848696617126,0,100,100,0
"ENSG00000008018","ENSG00000008018",0,0.830298409281186,1,0.494507157958553,13.3122222466199,0.662390302003265,0,101,101,0
"ENSG00000140319","ENSG00000140319",0,0.829894749431886,1,0.496315160687228,12.8139603797014,0.63617518438138,0,102,102,0
"ENSG00000128739","ENSG00000128739",0,0.829879799067097,1,0.496525709038064,12.088483512517,0.598005573845426,0,103,103,0
"ENSG00000118363","ENSG00000118363",0,0.829864848702308,1,0.49673992558605,8.63522610975402,0.416318884571069,0,104,104,0
"ENSG00000218502","ENSG00000218502",0,0.829760196148786,1,0.497269587435373,5.8300655411435,0.268730599902214,0,105,105,0
"ENSG00000175061","ENSG00000175061",0,0.829715345054419,1,0.4973839840412,12.3820564403704,0.613451365195815,0,106,106,0
"ENSG00000173207","ENSG00000173207",0,0.829610692500897,1,0.497683138599779,9.30201103322013,0.451400528095727,0,107,107,0
"ENSG00000234017","ENSG00000234017",0,0.829535940676953,1,0.498179574538007,4.2395477776568,0.185048478074649,0,108,108,0
"ENSG00000213684","ENSG00000213684",0,0.82916218155723,1,0.499583230805943,5.0712642249661,0.228807685716034,0,109,109,0
"ENSG00000242697","ENSG00000242697",0,0.829072479368497,1,0.499852241131302,3.76843806461313,0.16026192032213,0,110,110,0
"ENSG00000225093","ENSG00000225093",0,0.828743571343141,1,0.501138243190737,5.60253000659337,0.25675924267538,0,111,111,0
"ENSG00000006625","ENSG00000006625",0,0.828594067695252,1,0.501400141638166,11.0744031375331,0.544651628714807,0,112,112,0
"ENSG00000143761","ENSG00000143761",0,0.828549216600885,1,0.501733983042217,12.8333320779385,0.637194390107402,0,113,113,0
"ENSG00000250144","ENSG00000250144",0,0.828295060399474,1,0.502915290605956,5.27831817965507,0.239701442867906,0,114,114,0
"ENSG00000116898","ENSG00000116898",0,0.827981102738907,1,0.504960783873669,11.6950843213981,0.577307610079266,0,115,115,0
"ENSG00000240724","ENSG00000240724",0.794117647058823,0.827861499820596,1,0.0842811454613362,0.884214379353153,0.0085138774214504,0.00676102030526944,116,116,0
"ENSG00000244002","ENSG00000244002",0,0.827726946537496,1,0.507445759521351,3.36617260819587,0.139097474565086,0,117,117,0
"ENSG00000175390","ENSG00000175390",0,0.827562492524818,1,0.508233178054234,12.2510806300078,0.606560317531436,0,118,118,0
"ENSG00000243746","ENSG00000243746",0,0.827472790336084,1,0.508358477528865,5.14637450442054,0.232759472800782,0,119,119,0
"ENSG00000226415","ENSG00000226415",0,0.827457839971295,1,0.50837816679478,6.1302839069486,0.28452602856005,0,120,120,0
"ENSG00000235485","ENSG00000235485",0.735294117647059,0.827353187417773,1,0.105065031644734,0.879143402801626,0.0082470774602608,0.00606402754430941,121,121,0
"ENSG00000293293","ENSG00000293293",0,0.827338237052984,1,0.508858676642131,3.69738637373507,0.156523668295898,0,122,122,0
"ENSG00000237433","ENSG00000237433",0,0.827293385958617,1,0.50941085047701,3.77216224636486,0.160457861190074,0,123,123,0
"ENSG00000218186","ENSG00000218186",0.735294117647059,0.827248534864251,1,0.106731500403082,0.877733848652671,0.00817291640106157,0.00600949735372174,124,124,0
"ENSG00000284003","ENSG00000284003",0.794117647058823,0.82712893194594,1,0.0889947244579081,0.88354057108086,0.00847842625754335,0.00673286791040207,125,125,0
"ENSG00000138385","ENSG00000138385",0,0.826814974285373,1,0.511689522757118,12.6411279147241,0.62708192700192,0,126,126,0
"ENSG00000139239","ENSG00000139239",0,0.826755172826217,1,0.512135237923717,7.77133962082322,0.370867110267451,0,127,127,0
"ENSG00000110700","ENSG00000110700",0,0.826486066260017,1,0.513302891349228,14.3643495741308,0.717746016488258,0,128,128,0
"ENSG00000240103","ENSG00000240103",0,0.826426264800861,1,0.513569662413744,4.8360906549508,0.216434467517263,0,129,129,0
"ENSG00000142507","ENSG00000142507",0,0.826396364071283,1,0.513713805112103,12.5838789623663,0.624069880286263,0,130,130,0
"ENSG00000204469","ENSG00000204469",0,0.826261810788183,1,0.514273800107472,8.62051631871957,0.415544956386386,0,131,131,0
"ENSG00000237149","ENSG00000237149",0,0.826246860423394,1,0.514304197864652,3.57864064011007,0.150276083279352,0,132,132,0
"ENSG00000119969","ENSG00000119969",0,0.826231910058605,1,0.514375255922546,12.4829827536603,0.618761414689268,0,133,133,0
"ENSG00000259020","ENSG00000259020",0,0.826216959693817,1,0.514376931777318,4.92496494253427,0.221110422185379,0,134,134,0
"ENSG00000213740","ENSG00000213740",0,0.826187058964239,1,0.514464574336368,6.2035083204133,0.28837859432761,0,135,135,0
"ENSG00000234397","ENSG00000234397",0,0.825977753857194,1,0.51557657629155,2.99218718620077,0.119420930006086,0,136,136,0
"ENSG00000224261","ENSG00000224261",0,0.825753498385361,1,0.516685317370468,3.67983339056632,0.155600150866741,0,137,137,0
"ENSG00000126457","ENSG00000126457",0,0.825693696926205,1,0.516842330736354,11.8214465302436,0.583955921715744,0,138,138,0
"ENSG00000241923","ENSG00000241923",0,0.825663796196627,1,0.516895164113745,4.02274353347461,0.173641727649797,0,139,139,0
"ENSG00000204568","ENSG00000204568",0,0.825633895467049,1,0.517027406934205,11.4515589186917,0.564494975800535,0,140,140,0
