"","segIdx","rho","sigma","mu","mu.scaled","zero","f_stats"
"ENSMUSG00000000365",0.845158893056833,0.939458857198909,0.919559701661494,8.72804021274098,0.568605817985755,0.00110408896696263,-0.699854825721694
"ENSMUSG00000000378",0.31134545969283,0.655516060688242,1.67074564569758,5.17881973638588,0.337384658359047,0.11988619898972,1.93102607688552
"ENSMUSG00000000384",0.63217495930356,0.854228118755684,1.29707390547458,7.06883126181654,0.460513288865178,0.00178840112180652,1.73806187467765
"ENSMUSG00000000386",0.501910963267039,0.42371446676224,0.835851398531514,3.51604258478684,0.22905967157537,0.0498149188668766,1.59129798503311
"ENSMUSG00000000392",0.393339939132281,0.527985147062217,0.862900671661985,3.27422166677729,0.213305757876105,0.085322303150442,3.27585388081685
"ENSMUSG00000000399",0.786644490055913,0.92434362584601,0.849664692969295,8.42507443086217,0.548868498233456,0.00106576407423972,1.12324382110691
"ENSMUSG00000000402",0.492373841036167,0.163170390649713,0.196834494482896,1.18136997316083,0.0769626936036721,0.0324289407999939,2.62187556671198
"ENSMUSG00000000409",0.341850095548163,0.826074750626432,1.68972791250451,5.98719755072634,0.390048069069519,0.0977013609902291,2.77478622012991
"ENSMUSG00000000416",0.200757307665086,0.7422556777212,1.69751256389732,4.86903330201554,0.317202993379674,0.21927041872459,4.33353326286828
"ENSMUSG00000000420",0.512421261235756,0.826963458072148,1.46941012821153,6.35230636790001,0.413833822774944,0.0200890205230555,2.16909453757893
"ENSMUSG00000000439",0.580826668554038,0.747047874117904,1.38399010115742,7.11962127089087,0.46382210692082,0.0216150108079606,0.720398456045416
"ENSMUSG00000000441",0.542748956047845,0.76337678230319,1.30314068055438,6.46506168807088,0.421179496580693,0.0294416735473882,1.69683354168738
"ENSMUSG00000000486",0.472981102696582,0.828121989754936,1.20865861947329,6.50873253652074,0.424024522492081,0.0230537604461714,5.3346506220895
"ENSMUSG00000000531",0.358411777195838,0.434652683849505,1.25154116183787,2.92054483461383,0.190264763998509,0.0890365206284285,1.8841549740818
"ENSMUSG00000000532",0.353298181046075,0.328041840742171,1.22979426869546,5.43725197789588,0.354220750386849,0.135498034613999,1.2984951239065
"ENSMUSG00000000538",0.172906787458419,0.500467827271722,1.75823497727929,5.21922475717474,0.340016925309997,0.259469226498697,2.50272147608523
"ENSMUSG00000000544",0.318883148135041,0.768304346749574,1.33602437447555,5.34762103078683,0.348381560720537,0.0926762598421624,6.13430808664058
"ENSMUSG00000000552",0.38564300375115,0.3905957218915,0.349004724334808,1.17375802367131,0.0764667977302791,0.0601340836519671,5.07940745696997
"ENSMUSG00000000555",0.315892844504211,0.760264006146902,1.62190821902629,4.52331764108225,0.294680646133384,0.153348375075237,2.38730485896788
"ENSMUSG00000000560",0.580773586241064,0.887224037947373,0.95028583106188,4.19152028812043,0.273065035262208,0.00424178695552944,5.95189573730856
"ENSMUSG00000000561",0.753680373699483,1,1.14298562957187,9.12809487893147,0.594668189835259,0,1.63970971921026
"ENSMUSG00000000562",0.63966841248496,1,1.13020416354397,3.1315729712778,0.204012619562392,0.0277298706201309,2.34993230290571
"ENSMUSG00000000563",0.700642295986977,0.998014885754709,0.735457385787421,10.0543757935049,0.655012636914437,0,3.95940274457889
"ENSMUSG00000000567",0.634952933682497,0.579852450089265,0.374647879095532,1.24438268596543,0.0810677844603739,0.0593447664884679,0.0572410140361366
