"","x"
"ENSG00000253444",-1332
"ENSG00000199932",-1338
"ENSG00000235004",-1357.5
"ENSG00000272103",-1359
"ENSG00000250185",-1359
"ENSG00000287968",-1362
"ENSG00000264963",-1374
"ENSG00000286150",-1376
"ENSG00000234761",-1376
"ENSG00000284747",-1381
"ENSG00000135451",-1386
"ENSG00000290939",-1389
"ENSG00000115361",-1396.5
"ENSG00000235647",-1401.5
"ENSG00000163659",-1402
"ENSG00000286927",-1402.5
"ENSG00000283369",-1409
"ENSG00000277831",-1421
"ENSG00000235495",-1432.5
"ENSG00000225559",-1434
"ENSG00000251647",-1436
"ENSG00000242580",-1442
"ENSG00000269904",-1443
"ENSG00000198857",-1444
"ENSG00000286837",-1449
"ENSG00000143889",-1449.5
"ENSG00000256779",-1457
"ENSG00000234262",-1464
"ENSG00000277695",-1470
"ENSG00000185900",-1471.5
"ENSG00000143502",-1474
"ENSG00000289714",-1474
"ENSG00000005810",-1480.5
"ENSG00000242797",-1502.5
"ENSG00000237124",-1504
"ENSG00000280773",-1523
"ENSG00000223416",-1532
"ENSG00000264275",-1533
"ENSG00000271653",-1535
"ENSG00000228638",-1549
"ENSG00000207302",-1553
"ENSG00000125462",-1564.5
"ENSG00000289463",-1571.5
"ENSG00000255273",-1582
"ENSG00000228407",-1585
"ENSG00000201354",-1587.5
"ENSG00000200432",-1602.5
"ENSG00000184492",-1607
"ENSG00000287739",-1607
"ENSG00000137955",-1621
"ENSG00000144218",-1622
"ENSG00000181649",-1627
"ENSG00000120738",-1629
"ENSG00000214669",-1660
"ENSG00000255022",-1660
"ENSG00000236546",-1684
"ENSG00000133872",-1689
"ENSG00000286376",-1712.5
"ENSG00000137145",-1729
"ENSG00000204790",-1738.5
"ENSG00000187686",-1746.5
"ENSG00000274059",-1748
"ENSG00000200913",-1749
"ENSG00000276203",-1756
"ENSG00000166741",-1759.5
"ENSG00000285857",-1772
"ENSG00000287980",-1797
"ENSG00000237501",-1809
"ENSG00000223062",-1813
"ENSG00000286763",-1832
"ENSG00000064201",-1837
"ENSG00000201240",-1845
"ENSG00000189132",-1850.5
"ENSG00000280704",-1863.5
"ENSG00000223756",-1882.5
"ENSG00000227372",-1918
"ENSG00000241539",-1926.5
"ENSG00000205108",-1931
"ENSG00000204882",-1931
"ENSG00000225982",-1964.5
"ENSG00000279317",-1973
"ENSG00000215834",-2006
"ENSG00000283785",-2017
"ENSG00000207652",-2037
"ENSG00000288780",-2063
"ENSG00000235337",-2065.5
"ENSG00000263709",-2069.5
"ENSG00000201557",-2091
"ENSG00000236795",-2100.5
"ENSG00000176994",-2106.5
"ENSG00000077274",-2119
"ENSG00000057757",-2126
"ENSG00000012963",-2131.5
"ENSG00000225156",-2132
"ENSG00000248869",-2133
"ENSG00000269925",-2135.5
"ENSG00000223808",-2189
"ENSG00000252121",-2231.5
"ENSG00000261182",-2245
"ENSG00000149782",-2246
"ENSG00000237163",-2252
"ENSG00000237070",-2257
"ENSG00000187049",-2311
"ENSG00000230492",-2317
"ENSG00000226888",-2338
"ENSG00000231453",-2385.5
"ENSG00000231768",-2411.5
"ENSG00000113013",-2445
"ENSG00000266472",-2461.5
"ENSG00000203685",-2464.5
"ENSG00000271826",-2467.5
"ENSG00000010932",-2480
"ENSG00000283578",-2502
"ENSG00000272068",-2514
"ENSG00000162496",-2515
"ENSG00000142910",-2532
"ENSG00000236875",-2535
"ENSG00000255335",-2541
"ENSG00000258585",-2545
"ENSG00000180438",-2558
"ENSG00000259201",-2559
"ENSG00000290126",-2572
"ENSG00000269982",-2572
"ENSG00000286548",-2576
"ENSG00000230234",-2576
"ENSG00000236953",-2576.5
"ENSG00000253796",-2579
"ENSG00000200487",-2580
"ENSG00000202112",-2584
"ENSG00000121270",-2617
"ENSG00000152944",-2620
"ENSG00000183853",-2625
"ENSG00000255587",-2626.5
"ENSG00000224533",-2627
"ENSG00000127838",-2627.5
"ENSG00000240449",-2628
"ENSG00000125630",-2632
"ENSG00000146592",-2683
"ENSG00000238269",-2693.5
"ENSG00000185078",-2708
"ENSG00000013441",-2761
"ENSG00000271569",-2774.5
"ENSG00000288063",-2782
"ENSG00000291027",-2807
"ENSG00000220323",-2809
"ENSG00000248347",-2836
"ENSG00000128694",-2836
"ENSG00000261834",-2845
"ENSG00000236327",-2876
"ENSG00000252840",-2885
"ENSG00000288782",-2888
"ENSG00000235083",-2891
"ENSG00000160062",-2891.5
"ENSG00000270416",-2894
"ENSG00000201591",-2902
"ENSG00000214654",-2904.5
"ENSG00000139656",-2916.5
"ENSG00000218018",-2920.5
"ENSG00000242775",-2947
"ENSG00000293506",-2947.5
"ENSG00000229291",-2987.5
"ENSG00000232069",-3008.5
"ENSG00000234383",-3009
"ENSG00000232412",-3028.5
"ENSG00000226490",-3029.5
"ENSG00000237031",-3033
"ENSG00000065802",-3044
"ENSG00000239168",-3047.5
"ENSG00000128709",-3054.5
"ENSG00000288905",-3062.5
"ENSG00000283001",-3070.5
"ENSG00000252763",-3095
"ENSG00000226078",-3102
"ENSG00000288070",-3107
"ENSG00000199385",-3130
"ENSG00000277981",-3133.5
"ENSG00000232041",-3138
"ENSG00000229160",-3139
"ENSG00000244345",-3143
"ENSG00000264834",-3164.5
"ENSG00000162385",-3169
"ENSG00000228728",-3184.5
"ENSG00000231228",-3189
"ENSG00000278928",-3205
"ENSG00000240303",-3217
"ENSG00000284641",-3223.5
"ENSG00000137288",-3230.5
"ENSG00000152208",-3239.5
"ENSG00000163344",-3242.5
"ENSG00000238078",-3265
"ENSG00000057019",-3265
"ENSG00000162727",-3269
"ENSG00000235435",-3274.5
"ENSG00000278475",-3277.5
"ENSG00000179698",-3299.5
"ENSG00000213927",-3312.5
"ENSG00000160180",-3312.5
"ENSG00000293204",-3334
"ENSG00000131697",-3342.5
"ENSG00000144410",-3395.5
"ENSG00000231494",-3465
"ENSG00000144848",-3467
"ENSG00000235651",-3472
"ENSG00000287840",-3495
"ENSG00000172155",-3497
"ENSG00000239872",-3554.5
"ENSG00000207769",-3563
"ENSG00000229347",-3575
"ENSG00000206651",-3579.5
