"","x"
"ENSG00000156261",-1392.5
"ENSG00000289192",-1392.5
"ENSG00000117713",-1394
"ENSG00000288908",-1395
"ENSG00000162244",-1398
"ENSG00000257087",-1406
"ENSG00000175768",-1406
"ENSG00000234637",-1413
"ENSG00000156482",-1428
"ENSG00000231120",-1430
"ENSG00000235683",-1434
"ENSG00000105372",-1436
"ENSG00000087365",-1444
"ENSG00000142534",-1445
"ENSG00000078403",-1447
"ENSG00000101367",-1451
"ENSG00000215319",-1452
"ENSG00000242990",-1468
"ENSG00000127314",-1468
"ENSG00000180370",-1468
"ENSG00000235735",-1496
"ENSG00000164754",-1498
"ENSG00000240975",-1504
"ENSG00000218776",-1504
"ENSG00000179933",-1504
"ENSG00000256211",-1511
"ENSG00000083896",-1531
"ENSG00000148248",-1538
"ENSG00000236917",-1538
"ENSG00000030066",-1542
"ENSG00000169223",-1550
"ENSG00000183726",-1557.5
"ENSG00000143106",-1571
"ENSG00000166136",-1584
"ENSG00000134308",-1584.5
"ENSG00000231747",-1586
"ENSG00000115806",-1596
"ENSG00000231609",-1597.5
"ENSG00000095139",-1605
"ENSG00000105193",-1608
"ENSG00000166441",-1610
"ENSG00000148498",-1614.5
"ENSG00000237434",-1616.5
"ENSG00000244031",-1623
"ENSG00000100836",-1638
"ENSG00000141279",-1644
"ENSG00000270915",-1662
"ENSG00000198730",-1670
"ENSG00000234741",-1673
"ENSG00000213152",-1673.5
"ENSG00000228884",-1677
"ENSG00000144713",-1679.5
"ENSG00000236626",-1681
"ENSG00000254061",-1727
"ENSG00000235433",-1737
"ENSG00000213881",-1741.5
"ENSG00000234639",-1751
"ENSG00000084463",-1752.5
"ENSG00000243050",-1777
"ENSG00000114354",-1780.5
"ENSG00000138326",-1783
"ENSG00000242951",-1789
"ENSG00000085872",-1818
"ENSG00000034713",-1827
"ENSG00000221983",-1830
"ENSG00000258925",-1834
"ENSG00000160961",-1846
"ENSG00000231328",-1855
"ENSG00000225022",-1856
"ENSG00000240776",-1857.5
"ENSG00000242070",-1859
"ENSG00000240416",-1861.5
"ENSG00000212569",-1892
"ENSG00000228928",-1892
"ENSG00000228190",-1892
"ENSG00000231931",-1897
"ENSG00000111142",-1898
"ENSG00000122873",-1943
"ENSG00000213772",-1947
"ENSG00000230170",-1948
"ENSG00000234107",-1954
"ENSG00000213778",-1990
"ENSG00000119596",-1992
"ENSG00000258932",-2011
"ENSG00000156256",-2026
"ENSG00000117523",-2032
"ENSG00000255397",-2054
"ENSG00000167978",-2083
"ENSG00000271045",-2101
"ENSG00000132676",-2107
"ENSG00000219274",-2119
"ENSG00000153310",-2140
"ENSG00000226777",-2143
"ENSG00000258605",-2149
"ENSG00000175826",-2157
"ENSG00000075151",-2157
"ENSG00000113649",-2164.5
"ENSG00000237557",-2169.5
"ENSG00000283456",-2184
"ENSG00000101310",-2262
"ENSG00000237676",-2276
"ENSG00000052126",-2276
"ENSG00000009954",-2282
"ENSG00000229875",-2413.5
"ENSG00000138442",-2422
"ENSG00000115207",-2432
"ENSG00000168259",-2448
"ENSG00000254336",-2457
"ENSG00000113141",-2485.5
"ENSG00000225636",-2504
"ENSG00000062650",-2509
"ENSG00000101017",-2510.5
"ENSG00000249970",-2535
"ENSG00000250428",-2538
"ENSG00000198242",-2547
"ENSG00000095002",-2554
"ENSG00000256070",-2558.5
"ENSG00000260965",-2562
"ENSG00000124356",-2562
"ENSG00000239483",-2571
"ENSG00000219702",-2587
"ENSG00000164604",-2591
"ENSG00000172354",-2605.5
"ENSG00000115758",-2613
"ENSG00000172775",-2613.5
"ENSG00000198923",-2620
"ENSG00000245573",-2621
"ENSG00000213024",-2622
"ENSG00000011007",-2625
"ENSG00000229914",-2626
"ENSG00000240796",-2627
"ENSG00000269821",-2657
"ENSG00000116698",-2659.5
"ENSG00000211450",-2662
"ENSG00000144028",-2669.5
"ENSG00000146872",-2675
"ENSG00000261702",-2691.5
"ENSG00000258452",-2693.5
"ENSG00000226626",-2705
"ENSG00000213979",-2717.5
"ENSG00000154174",-2728
"ENSG00000288920",-2765
"ENSG00000167491",-2805
"ENSG00000143612",-2823.5
"ENSG00000143256",-2833
"ENSG00000265402",-2844
"ENSG00000117614",-2854
"ENSG00000141378",-2858.5
"ENSG00000228901",-2860
"ENSG00000270442",-2878
"ENSG00000199509",-2883
"ENSG00000231057",-2896.5
"ENSG00000116209",-2901.5
"ENSG00000283338",-2924
"ENSG00000229117",-2926.5
"ENSG00000103550",-2927
"ENSG00000115944",-2928
"ENSG00000269244",-2938
"ENSG00000164109",-2938.5
"ENSG00000257231",-2948
"ENSG00000062194",-2967
"ENSG00000122952",-2993
"ENSG00000225254",-2995
"ENSG00000125652",-3024
"ENSG00000257905",-3031.5
"ENSG00000106723",-3034
"ENSG00000139168",-3058.5
"ENSG00000177879",-3092.5
"ENSG00000115514",-3095
"ENSG00000227425",-3097
"ENSG00000152944",-3101
"ENSG00000234025",-3120
"ENSG00000141101",-3129
"ENSG00000232916",-3131.5
"ENSG00000166855",-3135
