Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR2977670	0.8891497915126177	2.9771116328139366
SRR2977671	0.9979530022522699	3.223106247529778
SRR2977672	2.6863419262866306	10.146323844864824
SRR2977673	1.733047104070989	6.134143353137247
SRR2977674	1.4018755096493614	4.370172230596258
SRR2977675	0.6436669851491251	1.985058190885863
SRR2977676	1.3989449034348873	4.528950211658017
SRR2977677	1.5881619309733939	4.9296015149331796
SRR2977678	0.7268234333041222	2.0180923236137653
SRR2977679	0.7719146571155093	2.629499989551862
SRR2977680	2.6498354031690194	9.969697839847848
SRR2977681	0.5207042749695625	1.34685162189479
SRR2977682	1.074524922824963	3.3888386533696733
SRR2977683	0.2151843595146469	0.3989298821074163
SRR2977684	0.45432637449701796	1.1655521204800041
SRR2977685	0.6720863737859173	2.1204456558604363
SRR2977686	3.0684956706117803	11.369411456952458
SRR2977687	2.143723251370716	7.766442388903142
SRR2977688	0.33133456324098864	0.6798068864392676
SRR2977689	1.7028053034858148	5.977479680882955
SRR2977690	2.713468110841485	9.568137029556723
SRR2977691	2.316199580637161	8.382945911212321
SRR2977692	2.786379645790715	10.09071629532189
SRR2977693	0.1790178048926056	0.2047977329785428
SRR2977694	0.2031868448437705	0.2715123767720682
SRR2977695	1.255748893933102	4.27488221207135
SRR2977696	1.3330259530535153	4.462626390787202
SRR2977697	2.43167512887928	8.582167484044081
SRR2977698	0.15660871847187777	0.27033415073714073
SRR2977699	0.7244451252885862	2.2189051862728917
SRR2977700	0.8734183405292031	2.6057715355675137
SRR2977701	0.7601331635742444	2.1477646558539467
SRR2977702	0.1295614358239755	0
SRR2977703	0.9630874403108964	3.1113868771209456
SRR2977704	3.5415824655891956	12.924089606597425
SRR2977705	1.5929090509389736	5.7214852583962195
SRR2977706	0.2203288264870807	0.4901641751360189
SRR2977707	2.852153654181221	10.56225420094934
SRR2977708	0.4602237244274307	1.0748048707373883
SRR2977709	0.5678586489013723	1.4300062534929872
SRR2977710	1.2995174577092201	4.712813294902988
SRR2977711	0.16551752039173118	0.267944299732411
SRR2977712	0.3613295059194054	0.684402620100876
SRR2977713	0.34621133973372975	0.5263301153593404
SRR2977714	0.3193210799165875	0.5002522404292946
SRR2977715	0.29473125977051573	0.44499672952970426
SRR2977716	0.8113599859264138	2.5071679938265445
SRR2977717	0.26815998649823847	0.4473191033517654
SRR2977718	1.185553724384563	3.6901024588118623
SRR2977719	0.44524694308518625	0.8355852386850946
SRR2977720	1.2567694151594155	4.289211860288986
SRR2977721	0.16199423499283425	0.2788564094417285
SRR2977722	1.6326818402273544	5.882419061732925
SRR2977723	0.8275553781986593	2.4997409992441018
SRR2977724	4.074108729992124	15.524763939212074
SRR2977725	3.066073060676407	11.095250814624801
SRR2977726	1.505731807526926	5.217225830924817
SRR2977727	0.45887652576487536	1.2677760611466256
SRR2977728	0.5411875832696167	1.346253033339252
SRR2977729	1.3636576846125261	4.34957867600572
SRR2977730	1.441359576195816	3.0881609773203964
SRR2977731	0.7730702811087098	2.3559305106643444
SRR2977732	0.1810691161683976	0.24805355400020157
SRR2977733	0.562457623238127	1.5079091372247206
SRR2977734	1.135785675124333	3.505633730164666
SRR2977735	3.565039275816902	13.63312772316865
SRR2977736	0.2723835569422207	0.45502924571562664
SRR2977737	0.25043309225614857	0.24775239252451048
SRR2977738	0.37422697168981345	0.7304526773101254
SRR2977739	2.5004002059779338	5.820296081451181
SRR2977740	2.525577766008672	8.78534936919254
SRR2977741	1.8386591024074668	6.529928134972566
SRR2977742	0.17794047345498532	0.14028804530123795
SRR2977743	0.13616057660835534	0.11889879727882091
SRR2977744	0.17303346916292842	0.1365434178428551
SRR2977745	0.18099338130057077	0.15952096625055914
SRR2977746	0.19135086574293625	0.14788764357966666
SRR2977747	0.21701420031467183	0.3109357490998154
SRR2977748	0.16252924491190296	0.1341566001289805
SRR2977749	0.15237983198578414	0.12160549948403976
SRR2977750	0.1681289935505822	0.127770531916444
SRR2977751	0.1829933795609466	0.15346702431291118
SRR2977752	0.13370459849577698	0.10541543171523562
SRR2977753	0.17097372288912838	0.14433413899069458
SRR2977754	0.24325379135083136	0.29675233360277264
SRR2977755	0.19057884636048966	0.15561433700776178
SRR2977756	0.14119440458244237	0.10820460630322504
SRR2977757	0.14976059316310505	0.11171770375094756
SRR2977758	0.11867093990922761	0
SRR2977759	0.1583416223760822	0.12652125519076526
SRR2977760	0.10905177703922433	0
SRR2977761	0.12035052089209824	0
SRR2977762	0.13606263108738123	0.10502376145879477
SRR2977763	0.11850432862057589	0
SRR2977764	0	0
SRR2977765	0.12834487147501877	0.10104823872679752
SRR2977766	0.21751477151348717	0.26788797206723736
SRR2977767	0.14623956521807188	0.11147652523000998
SRR2977768	0.14777989996740032	0.11432493724859621
SRR2977769	0.17121008293869897	0.1262785179434104
SRR2977770	0	0
SRR2977771	0.1536577121310287	0.11503927299868849
SRR2977772	0.12286847282973953	0
SRR2977773	0.1243158535682823	0
SRR2977774	0	0
SRR2977775	0.13162981113123412	0.10201348410367236
SRR2977776	0	0
