GSM_ID,SRR_ID
GSM1965014,SRR2977697
GSM1965015,SRR2977698
GSM1965016,SRR2977699
GSM1965017,SRR2977700
GSM1965018,SRR2977701
GSM1965019,SRR2977702
GSM1965020,SRR2977703
GSM1965021,SRR2977704
GSM1965022,SRR2977705
GSM1965023,SRR2977706
GSM1965024,SRR2977707
GSM1965025,SRR2977708
GSM1965026,SRR2977709
GSM1965027,SRR2977710
GSM1965028,SRR2977711
GSM1965029,SRR2977712
GSM1965030,SRR2977713
GSM1965031,SRR2977714
GSM1965032,SRR2977715
GSM1965033,SRR2977716
GSM1965034,SRR2977717
GSM1965035,SRR2977718
GSM1965036,SRR2977719
GSM1965037,SRR2977720
GSM1965038,SRR2977721
GSM1965039,SRR2977722
GSM1965040,SRR2977723
GSM1965041,SRR2977724
GSM1965042,SRR2977725
GSM1965043,SRR2977726
GSM1965044,SRR2977727
GSM1965045,SRR2977728
GSM1965046,SRR2977729
GSM1965047,SRR2977730
GSM1965048,SRR2977731
GSM1965049,SRR2977732
GSM1965050,SRR2977733
GSM1965051,SRR2977734
GSM1965052,SRR2977735
GSM1965053,SRR2977736
GSM1965054,SRR2977737
GSM1965055,SRR2977738
GSM1965056,SRR2977739
GSM1965057,SRR2977740
GSM1965058,SRR2977741
GSM1965059,SRR2977742
GSM1965060,SRR2977743
GSM1965061,SRR2977744
GSM1965062,SRR2977745
GSM1965063,SRR2977746
GSM1965064,SRR2977747
GSM1965065,SRR2977748
GSM1965066,SRR2977749
GSM1965067,SRR2977750
GSM1965068,SRR2977751
GSM1965069,SRR2977752
GSM1965070,SRR2977753
GSM1965071,SRR2977754
GSM1965072,SRR2977755
GSM1965073,SRR2977756
GSM1965074,SRR2977757
GSM1965075,SRR2977758
GSM1965076,SRR2977759
GSM1965077,SRR2977760
GSM1965078,SRR2977761
GSM1965079,SRR2977762
GSM1965080,SRR2977763
GSM1965081,SRR2977764
GSM1965082,SRR2977765
GSM1965083,SRR2977766
GSM1965084,SRR2977767
GSM1965085,SRR2977768
GSM1965086,SRR2977769
GSM1965087,SRR2977770
GSM1965088,SRR2977771
GSM1965089,SRR2977772
GSM1965090,SRR2977773
GSM1965091,SRR2977774
GSM1965092,SRR2977775
GSM1965093,SRR2977776
GSM1965094,SRR2977777
GSM1965095,SRR2977778
GSM1965096,SRR2977779
GSM1965097,SRR2977780
GSM1965098,SRR2977781
GSM1965099,SRR2977782
GSM1965100,SRR2977783
GSM1965101,SRR2977784
GSM1965102,SRR2977785
GSM1965103,SRR2977786
GSM1965104,SRR2977787
GSM1965105,SRR2977788
GSM1965106,SRR2977789
GSM1965107,SRR2977790
GSM1965108,SRR2977791
GSM1965109,SRR2977792
GSM1965110,SRR2977793
GSM1965111,SRR2977794
GSM1965112,SRR2977795
GSM1965113,SRR2977796
GSM1965114,SRR2977797
GSM1965115,SRR2977798
GSM1965116,SRR2977799
GSM1965117,SRR2977800
GSM1965118,SRR2977801
GSM1965119,SRR2977802
GSM1965120,SRR2977803
GSM1965121,SRR2977804
GSM1965122,SRR2977805
GSM1965123,SRR2977806
GSM1965124,SRR2977807
GSM1965125,SRR2977808
GSM1965126,SRR2977809
GSM1965127,SRR2977810
GSM1965128,SRR2977811
GSM1965129,SRR2977812
GSM1965130,SRR2977813
GSM1965131,SRR2977814
GSM1965132,SRR2977815
GSM1965133,SRR2977816
GSM1965134,SRR2977817
GSM1965135,SRR2977818
GSM1965136,SRR2977819
